PK_Mortalidad,PK_Fecha,PK_Localidad,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Muertes_CIE10_Agrupada,Muertes_CIE10_Basica
257,202209,1,16,7,9,16,16
258,202209,2,5,2,3,5,5
259,202209,3,30,18,12,30,30
260,202209,4,6,3,3,6,6
261,202209,5,9,7,2,9,9
262,202209,6,21,15,6,21,21
263,202209,7,8,6,2,8,8
264,202209,8,12,9,3,12,12
265,202210,1,17,10,7,17,17
266,202210,2,13,10,3,13,13
267,202210,3,29,17,12,29,29
268,202210,4,5,4,1,5,5
269,202210,5,17,13,4,17,17
270,202210,6,24,13,11,24,24
271,202210,7,12,7,5,12,12
272,202210,8,7,4,3,7,7
273,202211,1,20,7,13,20,20
274,202211,2,6,4,2,6,6
275,202211,3,35,24,11,35,35
276,202211,4,8,4,4,8,8
277,202211,5,8,6,2,8,8
278,202211,6,22,16,6,22,22
279,202211,7,9,6,3,9,9
280,202211,8,10,8,2,10,10
281,202212,1,22,16,6,22,22
282,202212,2,10,8,2,10,10
283,202212,3,13,9,4,13,13
284,202212,4,13,7,6,13,13
285,202212,5,8,3,5,8,8
286,202212,6,24,20,4,24,24
287,202212,7,6,5,1,6,6
288,202212,8,10,6,4,10,10
289,202301,1,17,9,8,17,17
290,202301,2,2,2,0,2,2
291,202301,3,26,15,11,26,26
292,202301,4,10,7,3,10,10
293,202301,5,11,6,5,11,11
294,202301,6,21,12,9,21,21
295,202301,7,5,4,1,5,5
296,202301,8,12,7,5,12,12
297,202302,1,12,7,5,12,12
298,202302,2,12,8,4,12,12
299,202302,3,27,17,10,27,27
300,202302,4,9,5,4,9,9
301,202302,5,11,5,6,11,11
302,202302,6,25,16,9,25,25
303,202302,7,5,3,2,5,5
304,202302,8,9,4,5,9,9
305,202303,1,18,14,4,18,18
306,202303,2,12,7,5,12,12
307,202303,3,30,17,13,30,30
308,202303,4,7,4,3,7,7
309,202303,5,7,6,1,7,7
310,202303,6,22,11,11,22,22
311,202303,7,13,8,5,13,13
312,202303,8,12,10,2,12,12
313,202304,1,18,9,9,18,18
314,202304,2,6,4,2,6,6
315,202304,3,20,9,11,20,20
316,202304,4,6,4,2,6,6
317,202304,5,5,5,0,5,5
318,202304,6,23,11,12,23,23
319,202304,7,11,9,2,11,11
320,202304,8,11,5,6,11,11
321,202305,1,12,6,6,12,12
322,202305,2,12,9,3,12,12
323,202305,3,27,14,13,27,27
324,202305,4,8,6,2,8,8
325,202305,5,9,4,5,9,9
326,202305,6,25,18,7,25,25
327,202305,7,15,10,5,15,15
328,202305,8,20,8,12,20,20
329,202306,1,16,10,6,16,16
330,202306,2,9,8,1,9,9
331,202306,3,23,16,7,23,23
332,202306,4,3,2,1,3,3
333,202306,5,10,7,3,10,10
334,202306,6,17,11,6,17,17
335,202306,7,13,10,3,13,13
336,202306,8,16,11,5,16,16
337,202307,1,15,8,7,15,15
338,202307,2,3,2,1,3,3
339,202307,3,28,18,10,28,28
340,202307,4,8,6,2,8,8
341,202307,5,6,4,2,6,6
342,202307,6,24,21,3,24,24
343,202307,7,8,1,7,8,8
344,202307,8,14,6,8,14,14
345,202308,1,21,13,8,21,21
346,202308,2,3,1,2,3,3
347,202308,3,22,13,9,22,22
348,202308,4,9,6,3,9,9
349,202308,5,10,8,2,10,10
350,202308,6,17,9,8,17,17
351,202308,7,6,5,1,6,6
352,202308,8,10,3,7,10,10
353,202309,1,16,7,9,16,16
354,202309,2,5,3,2,5,5
