PK_Tasa,PK_Fecha,PK_Localidad,FK_Mortalidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Tasa_Mortalidad_Total,Tasa_Mortalidad_Hombres,Tasa_Mortalidad_Mujeres,Tasa_Total_100k,Tasa_Hombres_100k,Tasa_Mujeres_100k
194,202201,2,194,390261.0,184113.0,206148.0,9,6,3,2.306148961848609e-05,3.2588681950758505e-05,1.4552651493102043e-05,2.306148961848609,3.2588681950758507,1.4552651493102042
195,202201,3,195,1069465.0,513826.0,555639.0,27,16,11,2.524626799380999e-05,3.1138945868834976e-05,1.979702648662171e-05,2.524626799380999,3.1138945868834975,1.979702648662171
196,202201,4,196,252491.0,123378.0,129113.0,8,6,2,3.168429765813435e-05,4.863103632738414e-05,1.5490306940432024e-05,3.168429765813435,4.863103632738413,1.5490306940432024
197,202201,5,197,401520.0,194001.0,207519.0,15,6,9,3.7358039450089656e-05,3.0927675630537984e-05,4.336952279068423e-05,3.7358039450089655,3.0927675630537985,4.336952279068423
198,202201,6,198,1239208.0,588067.0,651141.0,29,17,12,2.340204388609499e-05,2.8908270656234748e-05,1.8429188148189102e-05,2.340204388609499,2.890827065623475,1.8429188148189102
199,202201,7,199,572346.0,264113.0,308233.0,13,12,1,2.2713533422090835e-05,4.543509785584201e-05,3.244298955660166e-06,2.2713533422090837,4.543509785584201,0.3244298955660166
200,202201,8,200,392872.0,192020.0,200852.0,10,5,5,2.5453582846321447e-05,2.603895427559629e-05,2.489395176547906e-05,2.5453582846321448,2.603895427559629,2.4893951765479057
201,202202,1,201,659992.0,324114.0,335878.0,19,11,8,2.878822773609377e-05,3.393867589798651e-05,2.381817207438415e-05,2.878822773609377,3.393867589798651,2.381817207438415
202,202202,2,202,390261.0,184113.0,206148.0,6,5,1,1.537432641232406e-05,2.7157234958965418e-05,4.850883831034014e-06,1.537432641232406,2.7157234958965417,0.4850883831034014
203,202202,3,203,1069465.0,513826.0,555639.0,25,13,12,2.3376174068342583e-05,2.5300393518428416e-05,2.1596756167223683e-05,2.337617406834258,2.5300393518428415,2.1596756167223683
204,202202,4,204,252491.0,123378.0,129113.0,6,5,1,2.3763223243600763e-05,4.052586360615345e-05,7.745153470216012e-06,2.376322324360076,4.052586360615345,0.7745153470216012
205,202202,5,205,401520.0,194001.0,207519.0,12,7,5,2.9886431560071728e-05,3.608228823562765e-05,2.4094179328157904e-05,2.9886431560071727,3.608228823562765,2.4094179328157903
206,202202,6,206,1239208.0,588067.0,651141.0,25,11,14,2.0174175763874992e-05,1.8705351601093073e-05,2.150071950622062e-05,2.017417576387499,1.8705351601093074,2.150071950622062
207,202202,7,207,572346.0,264113.0,308233.0,16,12,4,2.795511805795795e-05,4.543509785584201e-05,1.2977195822640665e-05,2.795511805795795,4.543509785584201,1.2977195822640664
208,202202,8,208,392872.0,192020.0,200852.0,9,3,6,2.2908224561689304e-05,1.5623372565357775e-05,2.987274211857487e-05,2.2908224561689305,1.5623372565357776,2.987274211857487
209,202203,1,209,659992.0,324114.0,335878.0,24,14,10,3.6364077140328975e-05,4.3194678415619194e-05,2.977271509298019e-05,3.6364077140328974,4.319467841561919,2.977271509298019
210,202203,2,210,390261.0,184113.0,206148.0,11,10,1,2.8186265089260778e-05,5.4314469917930837e-05,4.850883831034014e-06,2.818626508926078,5.431446991793083,0.4850883831034014
211,202203,3,211,1069465.0,513826.0,555639.0,29,15,14,2.7116361919277397e-05,2.919276175203279e-05,2.519621552842763e-05,2.71163619192774,2.919276175203279,2.519621552842763
212,202203,4,212,252491.0,123378.0,129113.0,8,4,4,3.168429765813435e-05,3.2420690884922756e-05,3.098061388086405e-05,3.168429765813435,3.2420690884922756,3.0980613880864047
213,202203,5,213,401520.0,194001.0,207519.0,12,5,7,2.9886431560071728e-05,2.5773063025448323e-05,3.373185105942106e-05,2.9886431560071727,2.5773063025448324,3.373185105942106
214,202203,6,214,1239208.0,588067.0,651141.0,18,10,8,1.4525406549989993e-05,1.7004865091902795e-05,1.2286125432126068e-05,1.4525406549989994,1.7004865091902794,1.2286125432126067
215,202203,7,215,572346.0,264113.0,308233.0,12,6,6,2.0966338543468462e-05,2.2717548927921004e-05,1.9465793733960998e-05,2.0966338543468463,2.2717548927921003,1.9465793733960999
216,202203,8,216,392872.0,192020.0,200852.0,11,9,2,2.7998941130953594e-05,4.687011769607332e-05,9.957580706191624e-06,2.7998941130953594,4.687011769607333,0.9957580706191623
