PK_LocalidadFecha,PK_Fecha,PK_Localidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
282,202212,2,390261,184113,206148
283,202212,3,1069465,513826,555639
284,202212,4,252491,123378,129113
285,202212,5,401520,194001,207519
286,202212,6,1239208,588067,651141
287,202212,7,572346,264113,308233
288,202212,8,392872,192020,200852
289,202301,1,667368,327765,339603
290,202301,2,391507,184598,206909
291,202301,3,1075140,516520,558620
292,202301,4,252497,123355,129142
293,202301,5,401706,193934,207772
294,202301,6,1244051,591517,652534
295,202301,7,574156,265130,309026
296,202301,8,396861,193917,202944
297,202302,1,667368,327765,339603
298,202302,2,391507,184598,206909
299,202302,3,1075140,516520,558620
300,202302,4,252497,123355,129142
301,202302,5,401706,193934,207772
302,202302,6,1244051,591517,652534
303,202302,7,574156,265130,309026
304,202302,8,396861,193917,202944
305,202303,1,667368,327765,339603
306,202303,2,391507,184598,206909
307,202303,3,1075140,516520,558620
308,202303,4,252497,123355,129142
309,202303,5,401706,193934,207772
310,202303,6,1244051,591517,652534
311,202303,7,574156,265130,309026
312,202303,8,396861,193917,202944
313,202304,1,667368,327765,339603
314,202304,2,391507,184598,206909
315,202304,3,1075140,516520,558620
316,202304,4,252497,123355,129142
317,202304,5,401706,193934,207772
318,202304,6,1244051,591517,652534
319,202304,7,574156,265130,309026
320,202304,8,396861,193917,202944
321,202305,1,667368,327765,339603
322,202305,2,391507,184598,206909
323,202305,3,1075140,516520,558620
324,202305,4,252497,123355,129142
325,202305,5,401706,193934,207772
326,202305,6,1244051,591517,652534
327,202305,7,574156,265130,309026
328,202305,8,396861,193917,202944
329,202306,1,667368,327765,339603
330,202306,2,391507,184598,206909
331,202306,3,1075140,516520,558620
332,202306,4,252497,123355,129142
333,202306,5,401706,193934,207772
334,202306,6,1244051,591517,652534
335,202306,7,574156,265130,309026
336,202306,8,396861,193917,202944
337,202307,1,667368,327765,339603
338,202307,2,391507,184598,206909
339,202307,3,1075140,516520,558620
340,202307,4,252497,123355,129142
341,202307,5,401706,193934,207772
342,202307,6,1244051,591517,652534
343,202307,7,574156,265130,309026
344,202307,8,396861,193917,202944
345,202308,1,667368,327765,339603
346,202308,2,391507,184598,206909
347,202308,3,1075140,516520,558620
348,202308,4,252497,123355,129142
349,202308,5,401706,193934,207772
350,202308,6,1244051,591517,652534
351,202308,7,574156,265130,309026
352,202308,8,396861,193917,202944
353,202309,1,667368,327765,339603
354,202309,2,391507,184598,206909
