"Estacion","Fecha inicial","Fecha final","CO"
"""USME""","2025-07-26 05:00","2025-07-26 05:59","561.001"
"""USME""","2025-07-26 04:00","2025-07-26 04:59","515.205"
"""USME""","2025-07-26 03:00","2025-07-26 03:59","377.817"
"""USME""","2025-07-26 02:00","2025-07-26 02:59","263.327"
"""USME""","2025-07-26 01:00","2025-07-26 01:59","194.633"
"""USME""","2025-07-26 00:00","2025-07-26 00:59","217.531"
"""USME""","2025-07-25 23:00","2025-07-25 23:59","332.021"
"""USME""","2025-07-25 22:00","2025-07-25 22:59","629.695"
"""USME""","2025-07-25 21:00","2025-07-25 21:59","812.879"
"""USME""","2025-07-25 20:00","2025-07-25 20:59","789.981"
"""USME""","2025-07-25 19:00","2025-07-25 19:59","847.226"
"""USME""","2025-07-25 18:00","2025-07-25 18:59","801.43"
"""USME""","2025-07-25 17:00","2025-07-25 17:59","629.695"
"""USME""","2025-07-25 16:00","2025-07-25 16:59","286.225"
"""USME""","2025-07-25 15:00","2025-07-25 15:59","217.531"
"""USME""","2025-07-25 14:00","2025-07-25 14:59","206.082"
"""USME""","2025-07-25 13:00","2025-07-25 13:59","194.633"
"""USME""","2025-07-25 12:00","2025-07-25 12:59","217.531"
"""USME""","2025-07-25 11:00","2025-07-25 11:59","274.776"
"""USME""","2025-07-25 10:00","2025-07-25 10:59","217.531"
"""USME""","2025-07-25 09:00","2025-07-25 09:59","343.47"
"""USME""","2025-07-25 08:00","2025-07-25 08:59","263.327"
"""USME""","2025-07-25 07:00","2025-07-25 07:59","492.307"
"""USME""","2025-07-25 06:00","2025-07-25 06:59","641.144"
"""USME""","2025-07-25 05:00","2025-07-25 05:59","515.205"
"""USME""","2025-07-25 04:00","2025-07-25 04:59","263.327"
"""USME""","2025-07-25 03:00","2025-07-25 03:59","194.633"
"""USME""","2025-07-25 02:00","2025-07-25 02:59","206.082"
"""USME""","2025-07-25 01:00","2025-07-25 01:59","137.388"
"""USME""","2025-07-25 00:00","2025-07-25 00:59","194.633"
"""USME""","2025-07-24 23:00","2025-07-24 23:59","309.123"
"""USME""","2025-07-24 22:00","2025-07-24 22:59","251.878"
"""USME""","2025-07-24 21:00","2025-07-24 21:59","435.062"
"""USME""","2025-07-24 20:00","2025-07-24 20:59","469.409"
"""USME""","2025-07-24 19:00","2025-07-24 19:59","595.348"
"""USME""","2025-07-24 18:00","2025-07-24 18:59","354.919"
"""USME""","2025-07-24 17:00","2025-07-24 17:59","228.98"
"""USME""","2025-07-24 16:00","2025-07-24 16:59","183.184"
"""USME""","2025-07-24 15:00","2025-07-24 15:59","251.878"
"""USME""","2025-07-24 14:00","2025-07-24 14:59","263.327"
"""USME""","2025-07-24 13:00","2025-07-24 13:59","251.878"
"""USME""","2025-07-24 12:00","2025-07-24 12:59","309.123"
"""USME""","2025-07-24 11:00","2025-07-24 11:59","366.368"
"""USME""","2025-07-24 10:00","2025-07-24 10:59","389.266"
"""USME""","2025-07-24 09:00","2025-07-24 09:59","343.47"
"""USME""","2025-07-24 08:00","2025-07-24 08:59","389.266"
"""USME""","2025-07-24 07:00","2025-07-24 07:59","457.96"
"""USME""","2025-07-24 06:00","2025-07-24 06:59","583.899"
"""USME""","2025-07-24 05:00","2025-07-24 05:59","366.368"
"""USME""","2025-07-24 04:00","2025-07-24 04:59","194.633"
"""USME""","2025-07-24 03:00","2025-07-24 03:59","114.49"
"""USME""","2025-07-24 02:00","2025-07-24 02:59","125.939"
"""USME""","2025-07-24 01:00","2025-07-24 01:59","160.286"
"""USME""","2025-07-24 00:00","2025-07-24 00:59","160.286"
"""USME""","2025-07-23 23:00","2025-07-23 23:59","206.082"
"""USME""","2025-07-23 22:00","2025-07-23 22:59","183.184"
"""USME""","2025-07-23 21:00","2025-07-23 21:59","263.327"
"""USME""","2025-07-23 20:00","2025-07-23 20:59","251.878"
"""USME""","2025-07-23 19:00","2025-07-23 19:59","377.817"
"""USME""","2025-07-23 18:00","2025-07-23 18:59","343.47"
"""USME""","2025-07-23 17:00","2025-07-23 17:59","251.878"
