"Estacion","Fecha inicial","Fecha final","SO2"
"""USME""","2025-07-26 19:00","2025-07-26 19:59","3.404"
"""USME""","2025-07-26 18:00","2025-07-26 18:59","15.45"
"""USME""","2025-07-26 17:00","2025-07-26 17:59","16.497"
"""USME""","2025-07-26 16:00","2025-07-26 16:59","3.666"
"""USME""","2025-07-26 15:00","2025-07-26 15:59","2.095"
"""USME""","2025-07-26 14:00","2025-07-26 14:59","5.499"
"""USME""","2025-07-26 13:00","2025-07-26 13:59","3.666"
"""USME""","2025-07-26 12:00","2025-07-26 12:59","2.357"
"""USME""","2025-07-26 11:00","2025-07-26 11:59","1.309"
"""USME""","2025-07-26 10:00","2025-07-26 10:59","1.571"
"""USME""","2025-07-26 09:00","2025-07-26 09:59","1.833"
"""USME""","2025-07-26 08:00","2025-07-26 08:59","6.285"
"""USME""","2025-07-26 07:00","2025-07-26 07:59","14.402"
"""USME""","2025-07-26 06:00","2025-07-26 06:59","5.761"
"""USME""","2025-07-26 05:00","2025-07-26 05:59","3.928"
"""USME""","2025-07-26 04:00","2025-07-26 04:59","4.975"
"""USME""","2025-07-26 03:00","2025-07-26 03:59","8.38"
"""USME""","2025-07-26 02:00","2025-07-26 02:59","16.759"
"""USME""","2025-07-26 01:00","2025-07-26 01:59","16.235"
"""USME""","2025-07-26 00:00","2025-07-26 00:59","1.047"
"""USME""","2025-07-25 23:00","2025-07-25 23:59","1.833"
"""USME""","2025-07-25 22:00","2025-07-25 22:59","1.309"
"""USME""","2025-07-25 21:00","2025-07-25 21:59","2.095"
"""USME""","2025-07-25 20:00","2025-07-25 20:59","12.046"
"""USME""","2025-07-25 19:00","2025-07-25 19:59","1.833"
"""USME""","2025-07-25 18:00","2025-07-25 18:59","3.404"
"""USME""","2025-07-25 17:00","2025-07-25 17:59","3.142"
"""USME""","2025-07-25 16:00","2025-07-25 16:59","9.951"
"""USME""","2025-07-25 15:00","2025-07-25 15:59","5.237"
"""USME""","2025-07-25 14:00","2025-07-25 14:59","5.761"
"""USME""","2025-07-25 13:00","2025-07-25 13:59","4.452"
"""USME""","2025-07-25 12:00","2025-07-25 12:59","3.404"
"""USME""","2025-07-25 11:00","2025-07-25 11:59","2.88"
"""USME""","2025-07-25 10:00","2025-07-25 10:59","4.713"
"""USME""","2025-07-25 09:00","2025-07-25 09:59","1.571"
"""USME""","2025-07-25 08:00","2025-07-25 08:59","4.452"
"""USME""","2025-07-25 07:00","2025-07-25 07:59","5.761"
"""USME""","2025-07-25 06:00","2025-07-25 06:59","18.068"
"""USME""","2025-07-25 05:00","2025-07-25 05:59","8.38"
"""USME""","2025-07-25 04:00","2025-07-25 04:59","13.617"
"""USME""","2025-07-25 03:00","2025-07-25 03:59","9.689"
"""USME""","2025-07-25 02:00","2025-07-25 02:59","7.594"
"""USME""","2025-07-25 01:00","2025-07-25 01:59","7.594"
"""USME""","2025-07-25 00:00","2025-07-25 00:59","14.664"
"""USME""","2025-07-24 23:00","2025-07-24 23:59","11.784"
"""USME""","2025-07-24 22:00","2025-07-24 22:59","4.19"
"""USME""","2025-07-24 21:00","2025-07-24 21:59","6.285"
"""USME""","2025-07-24 20:00","2025-07-24 20:59","21.211"
"""USME""","2025-07-24 19:00","2025-07-24 19:59","16.497"
"""USME""","2025-07-24 18:00","2025-07-24 18:59","18.854"
"""USME""","2025-07-24 17:00","2025-07-24 17:59","15.188"
"""USME""","2025-07-24 16:00","2025-07-24 16:59","15.188"
"""USME""","2025-07-24 15:00","2025-07-24 15:59","6.808"
"""USME""","2025-07-24 14:00","2025-07-24 14:59","5.761"
"""USME""","2025-07-24 13:00","2025-07-24 13:59","4.19"
"""USME""","2025-07-24 12:00","2025-07-24 12:59","3.142"
"""USME""","2025-07-24 11:00","2025-07-24 11:59","1.571"
"""USME""","2025-07-24 10:00","2025-07-24 10:59","1.047"
"""USME""","2025-07-24 09:00","2025-07-24 09:59","1.571"
"""USME""","2025-07-24 08:00","2025-07-24 08:59","1.047"
"""USME""","2025-07-24 07:00","2025-07-24 07:59","1.047"
"""USME""","2025-07-24 06:00","2025-07-24 06:59","2.095"
"""USME""","2025-07-24 05:00","2025-07-24 05:59","2.095"
"""USME""","2025-07-24 04:00","2025-07-24 04:59","8.903"
"""USME""","2025-07-24 03:00","2025-07-24 03:59","11.784"
"""USME""","2025-07-24 02:00","2025-07-24 02:59","8.903"
"""USME""","2025-07-24 01:00","2025-07-24 01:59","16.759"
"""USME""","2025-07-24 00:00","2025-07-24 00:59","34.827"
"""USME""","2025-07-23 23:00","2025-07-23 23:59","28.543"
"""USME""","2025-07-23 22:00","2025-07-23 22:59","40.85"
"""USME""","2025-07-23 21:00","2025-07-23 21:59","29.59"
"""USME""","2025-07-23 20:00","2025-07-23 20:59","21.473"
"""USME""","2025-07-23 19:00","2025-07-23 19:59","11.784"
"""USME""","2025-07-23 18:00","2025-07-23 18:59","12.046"
"""USME""","2025-07-23 17:00","2025-07-23 17:59","13.617"
"""USME""","2025-07-23 16:00","2025-07-23 16:59","14.664"
"""USME""","2025-07-23 15:00","2025-07-23 15:59","10.998"
"""USME""","2025-07-23 14:00","2025-07-23 14:59","13.093"
"""USME""","2025-07-23 13:00","2025-07-23 13:59","10.736"
"""USME""","2025-07-23 12:00","2025-07-23 12:59","14.402"
"""USME""","2025-07-23 11:00","2025-07-23 11:59","10.736"
